name,year,rate,code
Alabama,2016,2.01,1
Alabama,2015,2.01,1
Alabama,2014,2,1
Alabama,2013,1.99,1
Alabama,2012,2,1
Alabama,2011,1.98,1
Alabama,2010,1.98,1
Alabama,2009,1.98,1
Alabama,2008,2.01,1
Alabama,2007,2,1
Alabama,2006,1.95,1
Alabama,2005,1.91,1
Alabama,2004,1.91,1
Alabama,2003,1.9,1
Alabama,2002,1.92,1
Alabama,2001,1.86,1
Alabama,2000,1.88,1
Alabama,1999,1.87,1
Alabama,1998,1.85,1
Alabama,1997,1.82,1
Alabama,1996,1.88,1
Alabama,1995,1.82,1
Alabama,1994,1.87,1
Alabama,1993,1.86,1
Alabama,1992,1.79,1
Alabama,1991,1.76,1
Alabama,1990,1.92,1
Alabama,1989,1.9,1
Alabama,1988,1.92,1
Alabama,1987,1.91,1
Alabama,1986,1.92,1
Alabama,1985,1.92,1
Alabama,1984,1.91,1
Alabama,1983,1.9,1
Alabama,1982,1.9,1
Alabama,1981,1.91,1
Alabama,1980,1.86,1
Alabama,1979,1.9,1
Alabama,1978,1.92,1
Alabama,1977,1.92,1
Alaska,2016,2.94,2
Alaska,2015,2.84,2
Alaska,2014,2.79,2
Alaska,2013,2.75,2
Alaska,2012,2.83,2
Alaska,2011,2.86,2
Alaska,2010,3.03,2
Alaska,2009,3.02,2
Alaska,2008,2.78,2
Alaska,2007,2.53,2
Alaska,2006,2.75,2
Alaska,2005,2.64,2
Alaska,2004,2.71,2
Alaska,2003,2.43,2
Alaska,2002,2.99,2
Alaska,2001,2.67,2
Alaska,2000,2.68,2
Alaska,1999,2.74,2
Alaska,1998,2.71,2
Alaska,1997,2.56,2
Alaska,1996,2.63,2
Alaska,1995,2.86,2
Alaska,1994,3.03,2
Alaska,1993,2.55,2
Alaska,1992,3.02,2
Alaska,1991,3.11,2
Alaska,1990,3.33,2
Alaska,1989,3.15,2
Alaska,1988,3.21,2
Alaska,1987,3.38,2
Alaska,1986,3.45,2
Alaska,1985,3.68,2
Alaska,1984,3.72,2
Alaska,1983,3.95,2
Alaska,1982,3.92,2
Alaska,1981,4.02,2
Alaska,1980,3.72,2
Alaska,1979,3.58,2
Alaska,1978,3.51,2
Alaska,1977,3.3,2
Arizona,2016,2.31,4
Arizona,2015,2.34,4
Arizona,2014,2.37,4
Arizona,2013,2.36,4
Arizona,2012,2.43,4
Arizona,2011,2.39,4
Arizona,2010,2.39,4
Arizona,2009,2.38,4
Arizona,2008,2.48,4
Arizona,2007,2.51,4
Arizona,2006,2.51,4
Arizona,2005,2.51,4
Arizona,2004,2.44,4
Arizona,2003,2.49,4
Arizona,2002,2.48,4
Arizona,2001,2.5,4
Arizona,2000,2.5,4
Arizona,1999,2.51,4
Arizona,1998,2.45,4
Arizona,1997,2.44,4
Arizona,1996,2.58,4
Arizona,1995,2.44,4
Arizona,1994,2.5,4
Arizona,1993,2.62,4
Arizona,1992,2.69,4
Arizona,1991,2.71,4
Arizona,1990,2.77,4
Arizona,1989,2.81,4
Arizona,1988,2.87,4
Arizona,1987,2.93,4
Arizona,1986,3.09,4
Arizona,1985,3.11,4
Arizona,1984,3.04,4
Arizona,1983,3.02,4
Arizona,1982,3.07,4
Arizona,1981,3.18,4
Arizona,1980,3.01,4
Arizona,1979,3.15,4
Arizona,1978,3.04,4
Arizona,1977,2.92,4
Arkansas,2016,1.8,5
Arkansas,2015,1.83,5
Arkansas,2014,1.79,5
Arkansas,2013,1.81,5
Arkansas,2012,1.81,5
Arkansas,2011,1.72,5
Arkansas,2010,1.77,5
Arkansas,2009,1.78,5
Arkansas,2008,1.77,5
Arkansas,2007,1.69,5
Arkansas,2006,1.75,5
Arkansas,2005,1.67,5
Arkansas,2004,1.68,5
Arkansas,2003,1.77,5
Arkansas,2002,1.75,5
Arkansas,2001,1.74,5
Arkansas,2000,1.74,5
Arkansas,1999,1.75,5
Arkansas,1998,1.73,5
Arkansas,1997,1.71,5
Arkansas,1996,1.72,5
Arkansas,1995,1.68,5
Arkansas,1994,1.65,5
Arkansas,1993,1.79,5
Arkansas,1992,1.9,5
Arkansas,1991,1.81,5
Arkansas,1990,1.86,5
Arkansas,1989,1.82,5
Arkansas,1988,1.78,5
Arkansas,1987,1.74,5
Arkansas,1986,1.65,5
Arkansas,1985,1.77,5
Arkansas,1984,1.8,5
Arkansas,1983,1.79,5
Arkansas,1982,1.78,5
Arkansas,1981,1.86,5
Arkansas,1980,1.81,5
Arkansas,1979,1.54,5
Arkansas,1978,1.76,5
Arkansas,1977,1.61,5
California,2016,2.33,6
California,2015,2.28,6
California,2014,2.32,6
California,2013,2.33,6
California,2012,2.35,6
California,2011,2.25,6
California,2010,2.16,6
California,2009,2.28,6
California,2008,2.3,6
California,2007,2.3,6
California,2006,2.29,6
California,2005,2.26,6
California,2004,2.25,6
California,2003,2.23,6
California,2002,2.21,6
California,2001,2.2,6
California,2000,2.24,6
California,1999,2.22,6
California,1998,2.21,6
California,1997,2.28,6
California,1996,2.27,6
California,1995,2.24,6
California,1994,2.24,6
California,1993,2.35,6
California,1992,2.54,6
California,1991,2.46,6
